Date,HH,Price
2021-01-01 00:00:00,1,34.68627
2021-01-01 00:00:00,2,32.70009
2021-01-01 00:00:00,3,33.83769
2021-01-01 00:00:00,4,33.12253
2021-01-01 00:00:00,5,34.40224
2021-01-01 00:00:00,6,37.14257
2021-01-01 00:00:00,7,40.65289
2021-01-01 00:00:00,8,38.35702
2021-01-01 00:00:00,9,28.84534
2021-01-01 00:00:00,10,21.52479
2021-01-01 00:00:00,11,16.21029
2021-01-01 00:00:00,12,14.16763
2021-01-01 00:00:00,13,12.43305
2021-01-01 00:00:00,14,11.85437
2021-01-01 00:00:00,15,17.44422
2021-01-01 00:00:00,16,29.74926
2021-01-01 00:00:00,17,41.18432
2021-01-01 00:00:00,18,58.60731
2021-01-01 00:00:00,19,50.13848
2021-01-01 00:00:00,20,47.69914
2021-01-01 00:00:00,21,45.93895
2021-01-01 00:00:00,22,42.72663
2021-01-01 00:00:00,23,38.45834
2021-01-01 00:00:00,24,36.27511
2021-01-02 00:00:00,1,33.96336
2021-01-02 00:00:00,2,32.39177
2021-01-02 00:00:00,3,32.88898
2021-01-02 00:00:00,4,32.58826
2021-01-02 00:00:00,5,32.96129
2021-01-02 00:00:00,6,35.57096
2021-01-02 00:00:00,7,39.32226
2021-01-02 00:00:00,8,35.24608
2021-01-02 00:00:00,9,27.42845
2021-01-02 00:00:00,10,20.71821
2021-01-02 00:00:00,11,17.51055
2021-01-02 00:00:00,12,15.09587
2021-01-02 00:00:00,13,12.47329
2021-01-02 00:00:00,14,13.30213
2021-01-02 00:00:00,15,16.14801
2021-01-02 00:00:00,16,28.89002
2021-01-02 00:00:00,17,41.34367
2021-01-02 00:00:00,18,55.17889
2021-01-02 00:00:00,19,48.94283
2021-01-02 00:00:00,20,45.6157
2021-01-02 00:00:00,21,44.60104
2021-01-02 00:00:00,22,41.08463
2021-01-02 00:00:00,23,37.96316
2021-01-02 00:00:00,24,35.32636
2021-01-03 00:00:00,1,31.21854
2021-01-03 00:00:00,2,31.18399
2021-01-03 00:00:00,3,30.9965
2021-01-03 00:00:00,4,30.85751
2021-01-03 00:00:00,5,31.25261
2021-01-03 00:00:00,6,33.98288
2021-01-03 00:00:00,7,37.56098
2021-01-03 00:00:00,8,33.69656
2021-01-03 00:00:00,9,26.85007
2021-01-03 00:00:00,10,20.59539
2021-01-03 00:00:00,11,16.44347
2021-01-03 00:00:00,12,15.24614
2021-01-03 00:00:00,13,15.05287
2021-01-03 00:00:00,14,14.31074
2021-01-03 00:00:00,15,18.15183
2021-01-03 00:00:00,16,30.77938
2021-01-03 00:00:00,17,41.44498
2021-01-03 00:00:00,18,60.82211
2021-01-03 00:00:00,19,53.0995
2021-01-03 00:00:00,20,46.97001
2021-01-03 00:00:00,21,44.06673
