Date,HH,Price
2021-01-01 00:00:00,1,34.49203
2021-01-01 00:00:00,2,32.48754
2021-01-01 00:00:00,3,33.5839
2021-01-01 00:00:00,4,32.92048
2021-01-01 00:00:00,5,34.1339
2021-01-01 00:00:00,6,36.82686
2021-01-01 00:00:00,7,40.30831
2021-01-01 00:00:00,8,37.7855
2021-01-01 00:00:00,9,27.96556
2021-01-01 00:00:00,10,20.75373
2021-01-01 00:00:00,11,15.68933
2021-01-01 00:00:00,12,13.70229
2021-01-01 00:00:00,13,12.08906
2021-01-01 00:00:00,14,11.51588
2021-01-01 00:00:00,15,17.02664
2021-01-01 00:00:00,16,29.02337
2021-01-01 00:00:00,17,41.06426
2021-01-01 00:00:00,18,59.45344
2021-01-01 00:00:00,19,50.53378
2021-01-01 00:00:00,20,47.70301
2021-01-01 00:00:00,21,45.77815
2021-01-01 00:00:00,22,42.22246
2021-01-01 00:00:00,23,38.13529
2021-01-01 00:00:00,24,35.97766
2021-01-02 00:00:00,1,33.76976
2021-01-02 00:00:00,2,32.1877
2021-01-02 00:00:00,3,32.76071
2021-01-02 00:00:00,4,32.45791
2021-01-02 00:00:00,5,32.88219
2021-01-02 00:00:00,6,35.48204
2021-01-02 00:00:00,7,39.2446
2021-01-02 00:00:00,8,34.98525
2021-01-02 00:00:00,9,26.80308
2021-01-02 00:00:00,10,20.66508
2021-01-02 00:00:00,11,17.38566
2021-01-02 00:00:00,12,14.94657
2021-01-02 00:00:00,13,12.33675
2021-01-02 00:00:00,14,13.19014
2021-01-02 00:00:00,15,16.05493
2021-01-02 00:00:00,16,28.52291
2021-01-02 00:00:00,17,41.07494
2021-01-02 00:00:00,18,54.89748
2021-01-02 00:00:00,19,48.84302
2021-01-02 00:00:00,20,45.19604
2021-01-02 00:00:00,21,44.13273
2021-01-02 00:00:00,22,40.66146
2021-01-02 00:00:00,23,37.67084
2021-01-02 00:00:00,24,35.08967
2021-01-03 00:00:00,1,30.90011
2021-01-03 00:00:00,2,30.79107
2021-01-03 00:00:00,3,30.72373
2021-01-03 00:00:00,4,30.55511
2021-01-03 00:00:00,5,30.99321
2021-01-03 00:00:00,6,33.67024
2021-01-03 00:00:00,7,37.06893
2021-01-03 00:00:00,8,33.22818
2021-01-03 00:00:00,9,26.27548
2021-01-03 00:00:00,10,20.56242
2021-01-03 00:00:00,11,16.50569
2021-01-03 00:00:00,12,15.21903
2021-01-03 00:00:00,13,14.96166
2021-01-03 00:00:00,14,14.26991
2021-01-03 00:00:00,15,18.1413
2021-01-03 00:00:00,16,30.15764
2021-01-03 00:00:00,17,41.26677
2021-01-03 00:00:00,18,60.962
2021-01-03 00:00:00,19,53.20323
2021-01-03 00:00:00,20,46.65531
2021-01-03 00:00:00,21,43.87724
2021-01-03 00:00:00,22,39.75202
2021-01-03 00:00:00,23,37.57958
2021-01-03 00:00:00,24,34.52382
2021-01-04 00:00:00,1,30.81739
2021-01-04 00:00:00,2,30.56079
2021-01-04 00:00:00,3,30.09911
2021-01-04 00:00:00,4,30.21182
2021-01-04 00:00:00,5,31.55063
2021-01-04 00:00:00,6,37.56231
2021-01-04 00:00:00,7,49.26329
2021-01-04 00:00:00,8,56.42059
2021-01-04 00:00:00,9,37.17888
2021-01-04 00:00:00,10,30.44444
2021-01-04 00:00:00,11,30.4894
2021-01-04 00:00:00,12,28.68822
2021-01-04 00:00:00,13,26.13893
2021-01-04 00:00:00,14,25.36921
2021-01-04 00:00:00,15,27.65761
2021-01-04 00:00:00,16,32.21842
