Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,563174,-,b'None',b'None',37.82,-122.41,0,0,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity,Wind Speed
2020,1,1,0,0,90,14.3,71.71000000000001,1.1
2020,1,1,0,10,64,14.200000000000001,72.17,1.1
2020,1,1,0,20,76,14,73.11,1
2020,1,1,0,30,53,13.9,73.58,0.9
2020,1,1,0,40,32,13.8,72.65,0.9
2020,1,1,0,50,15,13.600000000000001,73.60000000000001,0.8
2020,1,1,1,0,0,13.5,74.07000000000001,0.8
2020,1,1,1,10,0,13.4,74.56,0.7000000000000001
2020,1,1,1,20,0,13.3,75.04,0.7000000000000001
2020,1,1,1,30,0,13.200000000000001,75.53,0.7000000000000001
2020,1,1,1,40,0,13,78.10000000000001,0.6000000000000001
2020,1,1,1,50,0,12.9,78.61,0.6000000000000001
2020,1,1,2,0,0,12.8,79.13,0.5
2020,1,1,2,10,0,12.700000000000001,79.65,0.6000000000000001
2020,1,1,2,20,0,12.600000000000001,80.17,0.6000000000000001
2020,1,1,2,30,0,12.5,80.7,0.6000000000000001
2020,1,1,2,40,0,12.3,82.84,0.6000000000000001
2020,1,1,2,50,0,12.200000000000001,83.38,0.7000000000000001
2020,1,1,3,0,0,12.100000000000001,83.93,0.7000000000000001
2020,1,1,3,10,0,12,84.48,0.7000000000000001
2020,1,1,3,20,0,11.9,85.04,0.8
2020,1,1,3,30,0,11.8,85.60000000000001,0.9
2020,1,1,3,40,0,11.700000000000001,87.2,0.9
2020,1,1,3,50,0,11.600000000000001,87.78,1
2020,1,1,4,0,0,11.5,88.36,1
2020,1,1,4,10,0,11.3,89.53,1.1
2020,1,1,4,20,0,11.200000000000001,90.13,1.2000000000000002
2020,1,1,4,30,0,11,91.33,1.3
2020,1,1,4,40,0,10.9,92.94,1.4000000000000001
2020,1,1,4,50,0,10.700000000000001,94.18,1.5
2020,1,1,5,0,0,10.600000000000001,94.81,1.5
2020,1,1,5,10,0,10.4,96.08,1.6
2020,1,1,5,20,0,10.3,96.72,1.7000000000000002
2020,1,1,5,30,0,10.100000000000001,98.02,1.8
2020,1,1,5,40,0,10,100,1.9000000000000001
2020,1,1,5,50,0,9.8,100,2
2020,1,1,6,0,0,9.700000000000001,100,2.1
2020,1,1,6,10,0,9.600000000000001,100,2.1
2020,1,1,6,20,0,9.600000000000001,100,2.1
2020,1,1,6,30,0,9.600000000000001,100,2.2
2020,1,1,6,40,0,9.5,100,2.2
2020,1,1,6,50,0,9.5,100,2.2
2020,1,1,7,0,0,9.5,100,2.2
2020,1,1,7,10,0,9.5,100,2.3000000000000003
2020,1,1,7,20,0,9.5,100,2.3000000000000003
2020,1,1,7,30,0,9.5,100,2.3000000000000003
2020,1,1,7,40,0,9.5,100,2.3000000000000003
2020,1,1,7,50,0,9.5,100,2.3000000000000003
2020,1,1,8,0,0,9.5,100,2.3000000000000003
2020,1,1,8,10,0,9.600000000000001,100,2.2
2020,1,1,8,20,0,9.600000000000001,100,2.2
2020,1,1,8,30,0,9.600000000000001,100,2.1
2020,1,1,8,40,0,9.700000000000001,100,2.1
2020,1,1,8,50,0,9.700000000000001,100,2
2020,1,1,9,0,0,9.700000000000001,100,2
2020,1,1,9,10,0,9.700000000000001,100,1.9000000000000001
2020,1,1,9,20,0,9.600000000000001,100,1.9000000000000001
2020,1,1,9,30,0,9.5,100,1.9000000000000001
2020,1,1,9,40,0,9.5,100,1.9000000000000001
2020,1,1,9,50,0,9.4,100,1.9000000000000001
2020,1,1,10,0,0,9.3,100,1.9000000000000001
2020,1,1,10,10,0,9.3,100,1.9000000000000001
2020,1,1,10,20,0,9.3,100,1.9000000000000001
2020,1,1,10,30,0,9.200000000000001,100,1.9000000000000001
2020,1,1,10,40,0,9.200000000000001,100,1.9000000000000001
2020,1,1,10,50,0,9.1,100,1.9000000000000001
2020,1,1,11,0,0,9.1,100,1.9000000000000001
2020,1,1,11,10,0,9.1,100,1.9000000000000001
2020,1,1,11,20,0,9,100,1.9000000000000001
2020,1,1,11,30,0,9,100,1.9000000000000001
2020,1,1,11,40,0,9,100,1.9000000000000001
2020,1,1,11,50,0,8.9,100,1.9000000000000001
2020,1,1,12,0,0,8.9,100,1.9000000000000001
2020,1,1,12,10,0,8.9,100,1.9000000000000001
2020,1,1,12,20,0,8.9,100,1.9000000000000001
2020,1,1,12,30,0,8.9,100,1.9000000000000001
2020,1,1,12,40,0,9,99.99000000000001,1.9000000000000001
2020,1,1,12,50,0,9,99.99000000000001,1.9000000000000001
2020,1,1,13,0,0,9,99.99000000000001,1.9000000000000001
2020,1,1,13,10,0,9,99.99000000000001,1.9000000000000001
2020,1,1,13,20,0,9,100,1.9000000000000001
2020,1,1,13,30,0,9,100,1.9000000000000001
2020,1,1,13,40,0,9,99.26,1.9000000000000001
2020,1,1,13,50,0,9,99.26,1.9000000000000001
2020,1,1,14,0,0,9,99.26,1.9000000000000001
2020,1,1,14,10,0,9,99.26,1.9000000000000001
2020,1,1,14,20,0,9,99.26,1.9000000000000001
2020,1,1,14,30,0,9.1,98.59,1.8
2020,1,1,14,40,0,9.1,98.46000000000001,1.8
2020,1,1,14,50,0,9.1,98.46000000000001,1.7000000000000002
2020,1,1,15,0,0,9.1,98.46000000000001,1.7000000000000002
2020,1,1,15,10,0,9.3,97.14,1.7000000000000002
2020,1,1,15,20,0,9.5,95.85000000000001,1.8
2020,1,1,15,30,0,9.700000000000001,94.57000000000001,1.8
2020,1,1,15,40,9,9.9,96.21000000000001,1.9000000000000001
2020,1,1,15,50,25,10.100000000000001,94.93,1.9000000000000001
2020,1,1,16,0,24,10.3,93.68,1.9000000000000001
2020,1,1,16,10,29,10.600000000000001,91.82000000000001,2
2020,1,1,16,20,44,10.8,90.61,2.1
2020,1,1,16,30,53,11,89.42,2.2
2020,1,1,16,40,81,11.200000000000001,92.25,2.2
2020,1,1,16,50,58,11.5,90.44,2.3000000000000003
2020,1,1,17,0,138,11.700000000000001,89.25,2.4000000000000004
2020,1,1,17,10,234,11.9,88.09,2.5
2020,1,1,17,20,258,12.200000000000001,86.37,2.5
2020,1,1,17,30,282,12.4,85.24,2.5
2020,1,1,17,40,303,12.700000000000001,88.24,2.6
2020,1,1,17,50,324,12.9,87.10000000000001,2.6
2020,1,1,18,0,346,13.200000000000001,85.41,2.7
2020,1,1,18,10,366,13.5,83.77,2.7
2020,1,1,18,20,384,13.700000000000001,82.69,2.7
2020,1,1,18,30,401,14,81.10000000000001,2.7
2020,1,1,18,40,416,14.3,84.34,2.8000000000000003
2020,1,1,18,50,431,14.5,83.26,2.8000000000000003
2020,1,1,19,0,300,14.8,81.66,2.8000000000000003
2020,1,1,19,10,216,15,80.54,2.8000000000000003
2020,1,1,19,20,131,15.100000000000001,80.03,2.8000000000000003
2020,1,1,19,30,215,15.3,79.01,2.8000000000000003
2020,1,1,19,40,423,15.5,80.64,2.8000000000000003
2020,1,1,19,50,388,15.700000000000001,79.61,2.8000000000000003
2020,1,1,20,0,486,15.8,79.11,2.8000000000000003
2020,1,1,20,10,394,15.9,78.53,2.8000000000000003
2020,1,1,20,20,352,16,78.03,2.8000000000000003
2020,1,1,20,30,214,16.1,77.53,2.8000000000000003
2020,1,1,20,40,351,16.1,78.32000000000001,2.8000000000000003
2020,1,1,20,50,478,16.2,77.82000000000001,2.8000000000000003
2020,1,1,21,0,471,16.3,77.33,2.8000000000000003
2020,1,1,21,10,379,16.3,77.33,2.8000000000000003
2020,1,1,21,20,311,16.3,77.33,2.9000000000000004
2020,1,1,21,30,199,16.3,77.33,2.9000000000000004
2020,1,1,21,40,170,16.3,77.49,2.9000000000000004
2020,1,1,21,50,144,16.400000000000002,77,3
