Start,End,Energy (kWh)
2017-03-10 21:56:00,2017-03-11 10:09:00,23.93
2017-03-11 18:14:00,2017-03-11 22:29:00,16.3
2017-03-13 20:45:00,2017-03-14 07:50:00,25.19
2017-03-14 20:27:00,2017-03-15 07:50:00,18.72
2017-03-15 21:21:00,2017-03-16 07:47:00,13.41
2017-03-16 20:07:00,2017-03-17 07:41:00,17.47
2017-03-17 16:42:00,2017-03-17 17:50:00,7.42
2017-03-19 18:42:00,2017-03-20 07:49:00,28.6
2017-03-20 21:05:00,2017-03-21 07:46:00,17.81
2017-03-21 22:01:00,2017-03-22 07:51:00,15.1
2017-03-22 19:04:00,2017-03-23 07:50:00,18.49
2017-03-23 20:29:00,2017-03-24 07:50:00,16.07
2017-03-24 19:04:00,2017-03-24 21:44:00,13.82
2017-03-26 01:24:00,2017-03-26 08:57:00,11.13
2017-03-26 18:16:00,2017-03-26 19:39:00,9.92
2017-03-26 20:06:00,2017-03-27 07:50:00,3.91
2017-03-27 19:47:00,2017-03-28 07:48:00,14.63
2017-03-28 17:51:00,2017-03-28 19:28:00,11.58
2017-03-28 23:19:00,2017-03-29 07:51:00,10.58
2017-03-29 18:20:00,2017-03-30 07:50:00,25.38
2017-03-30 22:19:00,2017-03-31 07:52:00,14.46
2017-04-01 02:16:00,2017-04-01 11:06:00,30.18
2017-04-02 20:35:00,2017-04-03 07:40:00,19.02
2017-04-03 16:18:00,2017-04-03 16:38:00,2.09
2017-04-03 16:39:00,2017-04-03 16:39:00,0.01
2017-04-04 17:59:00,2017-04-05 07:52:00,27.35
2017-04-05 20:14:00,2017-04-06 07:49:00,16.96
2017-04-06 20:31:00,2017-04-07 07:48:00,18.07
2017-04-07 17:44:00,2017-04-07 18:48:00,7.5
2017-04-07 20:09:00,2017-04-07 21:45:00,11.22
2017-04-07 23:00:00,2017-04-08 13:42:00,14.21
2017-04-09 00:45:00,2017-04-09 13:01:00,16.62
2017-04-10 19:47:00,2017-04-11 07:50:00,16.23
2017-04-11 22:23:00,2017-04-12 07:50:00,23
2017-04-12 20:59:00,2017-04-13 07:46:00,15.69
2017-04-13 20:52:00,2017-04-14 07:51:00,13.11
2017-04-14 20:19:00,2017-04-15 11:29:00,15.72
2017-04-15 19:59:00,2017-04-16 09:08:00,6.13
2017-04-18 10:19:00,2017-04-18 17:23:00,14.53
2017-04-19 20:10:00,2017-04-20 07:36:00,14.49
2017-04-20 20:45:00,2017-04-21 07:46:00,14.18
2017-04-21 17:45:00,2017-04-21 20:39:00,14.22
2017-04-22 12:34:00,2017-04-22 14:53:00,14.22
2017-04-22 20:43:00,2017-04-23 10:43:00,13.23
2017-04-24 20:45:00,2017-04-25 07:42:00,17.88
2017-04-25 17:46:00,2017-04-26 09:36:00,17.14
2017-04-26 22:56:00,2017-04-27 07:52:00,13.34
2017-04-27 20:59:00,2017-04-28 07:50:00,13.09
2017-04-28 21:07:00,2017-04-29 09:44:00,12.22
2017-04-29 23:19:00,2017-04-30 14:44:00,20.6
2017-04-30 08:27:00,2017-04-30 09:46:00,9.35
2017-04-30 22:47:00,2017-05-01 07:53:00,6.33
