t,lambda,xi0,xi1,xi2,xi3,xi4,xi5,xi6,xi7,xi8,xi9,demand0,demand1,demand2,demand3,demand4,demand5,demand6,demand7,demand8,demand9,device0_0,device1_0,device2_0,device3_0,device4_0,device5_0,device6_0,device7_0,device8_0,device9_0
0,34.49203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1309662493621649,0.1022528133302259,0.1789816649423976,0.404685044971675,0.3025231059930827,0.0851310211184264,0.1380192325358015,0.1779848548997204,0.0114327378059006,0.1761558194300277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,34.49203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1309662493621649,0.1022528133302259,0.1789816649423976,0.404685044971675,0.3025231059930827,0.0851310211184264,0.1380192325358015,0.1779848548997204,0.0114327378059006,0.1761558194300277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,34.49203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851963020857905,0.103820969315709,0.1795582547952616,0.4070020821823492,0.3025785477072308,0.0883487883188493,0.1380461759392117,0.1779848548997204,0.0114327378059006,0.1786121860304851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,34.49203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851963020857905,0.103820969315709,0.1795582547952616,0.4070020821823492,0.3025785477072308,0.0883487883188493,0.1380461759392117,0.1779848548997204,0.0114327378059006,0.1786121860304851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,34.49203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851963020857905,0.103820969315709,0.1795582547952616,0.4070020821823492,0.3025785477072308,0.0883487883188493,0.1380461759392117,0.1779848548997204,0.0114327378059006,0.1786121860304851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,34.49203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0529683459290097,0.1052565086814806,0.1800839597151124,0.4088198488092551,0.2694423843683568,0.0915086732334614,0.1380762375691685,0.1779848548997204,0.0114327378059006,0.1256826678383275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,34.49203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0529683459290097,0.1052565086814806,0.1800839597151124,0.4088198488092551,0.2694423843683568,0.0915086732334614,0.1380762375691685,0.1779848548997204,0.0114327378059006,0.1256826678383275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,34.49203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0529683459290097,0.1052565086814806,0.1800839597151124,0.4088198488092551,0.2694423843683568,0.0915086732334614,0.1380762375691685,0.1779848548997204,0.0114327378059006,0.1256826678383275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,34.49203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0527408481176321,0.1070971438041542,0.1805698654367912,0.4102452976583612,0.2031318089747881,0.1946264436479091,0.138108384584126,0.3549236729998599,0.0114327378059006,0.1287345800017788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,34.49203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0527408481176321,0.1070971438041542,0.1805698654367912,0.4102452976583612,0.2031318089747881,0.1946264436479091,0.138108384584126,0.3549236729998599,0.0114327378059006,0.1287345800017788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,34.49203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0527408481176321,0.1070971438041542,0.1805698654367912,0.4102452976583612,0.2031318089747881,0.1946264436479091,0.138108384584126,0.3549236729998599,0.0114327378059006,0.1287345800017788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,32.48754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511773353015329,0.1076367725456956,0.1785351878115214,0.3106947338595043,0.1845420302867739,0.1790768500680691,0.0904044691915225,0.1154764334940529,0.0109356622491223,0.1288704243758543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,32.48754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511773353015329,0.1076367725456956,0.1785351878115214,0.3106947338595043,0.1845420302867739,0.1790768500680691,0.0904044691915225,0.1154764334940529,0.0109356622491223,0.1288704243758543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,32.48754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511773353015329,0.1076367725456956,0.1785351878115214,0.3106947338595043,0.1845420302867739,0.1790768500680691,0.0904044691915225,0.1154764334940529,0.0109356622491223,0.1288704243758543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,32.48754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511773353015329,0.1086707969913631,0.1790424980590466,0.3110257333410195,0.1845249058411792,0.1830662720744664,0.0904383933288246,0.2039396146836302,0.0109356622491223,0.1296148095831412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,32.48754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511773353015329,0.1086707969913631,0.1790424980590466,0.3110257333410195,0.1845249058411792,0.1830662720744664,0.0904383933288246,0.2039396146836302,0.0109356622491223,0.1296148095831412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,32.48754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511773353015329,0.1086707969913631,0.1790424980590466,0.3110257333410195,0.1845249058411792,0.1830662720744664,0.0904383933288246,0.2039396146836302,0.0109356622491223,0.1296148095831412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,32.48754,45296.61251235008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511773353015329,0.109366666596689,0.1792728668512971,0.3111939602400952,0.184506144711044,0.1859325494615547,0.0903585996921135,0.1154764334940529,0.0109356622491223,0.1299161729016006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,32.48754,45296.61251235008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511773353015329,0.109366666596689,0.1792728668512971,0.3111939602400952,0.184506144711044,0.1859325494615547,0.0903585996921135,0.1154764334940529,0.0109356622491223,0.1299161729016006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,32.48754,45296.61251235008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511773353015329,0.109366666596689,0.1792728668512971,0.3111939602400952,0.184506144711044,0.1859325494615547,0.0903585996921135,0.1154764334940529,0.0109356622491223,0.1299161729016006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,32.48754,45296.61251235008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511773353015329,0.109859765664713,0.1794041221561198,0.3109851603164301,0.1844881455434388,0.0991448132608257,0.0903709756979651,0.0742965540387106,0.0109356622491223,0.12992968098865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,32.48754,45296.61251235008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511773353015329,0.109859765664713,0.1794041221561198,0.3109851603164301,0.1844881455434388,0.0991448132608257,0.0903709756979651,0.0742965540387106,0.0109356622491223,0.12992968098865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,32.48754,45296.61251235008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511773353015329,0.109859765664713,0.1794041221561198,0.3109851603164301,0.1844881455434388,0.0991448132608257,0.0903709756979651,0.0742965540387106,0.0109356622491223,0.12992968098865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,33.5839,45296.61251235008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0501800558706606,0.1116742185653198,0.1765382670717607,0.3117439910423084,0.1586356432944725,0.0993905756609949,0.0893986055047461,0.0703236729927327,0.0101900489139549,0.1301477520681811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,33.5839,45295.516152350116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0501800558706606,0.1116742185653198,0.1765382670717607,0.3117439910423084,0.1586356432944725,0.0993905756609949,0.0893986055047461,0.0703236729927327,0.0101900489139549,0.1301477520681811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,33.5839,45295.516152350116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0501800558706606,0.1116742185653198,0.1765382670717607,0.3117439910423084,0.1586356432944725,0.0993905756609949,0.0893986055047461,0.0703236729927327,0.0101900489139549,0.1301477520681811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,33.5839,45295.516152350116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0539304764768168,0.1133112036080123,0.1769499538773808,0.3070871374257464,0.1587642431493384,0.101730642944238,0.090006607586471,0.0703236729927327,0.0101900489139549,0.1317724089767843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,33.5839,45295.516152350116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0539304764768168,0.1133112036080123,0.1769499538773808,0.3070871374257464,0.1587642431493384,0.101730642944238,0.090006607586471,0.0703236729927327,0.0101900489139549,0.1317724089767843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,33.5839,45295.516152350116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0539304764768168,0.1133112036080123,0.1769499538773808,0.3070871374257464,0.1587642431493384,0.101730642944238,0.090006607586471,0.0703236729927327,0.0101900489139549,0.1317724089767843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,33.5839,45295.516152350116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0539304764768168,0.1149665489868841,0.177419680720451,0.3082930457018376,0.2216333292407946,0.1038296747075655,0.093031054797462,0.0703236729927327,0.0101900489139549,0.1335613577904519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,33.5839,45295.516152350116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0539304764768168,0.1149665489868841,0.177419680720451,0.3082930457018376,0.2216333292407946,0.1038296747075655,0.093031054797462,0.0703236729927327,0.0101900489139549,0.1335613577904519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,33.5839,45295.516152350116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0539304764768168,0.1149665489868841,0.177419680720451,0.3082930457018376,0.2216333292407946,0.1038296747075655,0.093031054797462,0.0703236729927327,0.0101900489139549,0.1335613577904519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,33.5839,45295.516152350116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0539304764768168,0.1166436070680197,0.1779329845603566,0.3094958434602763,0.2375213304799232,0.1057203197507251,0.0895416347360394,0.0703236729927327,0.0101900489139549,0.1354993334401424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33.5839,45295.516152350116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0539304764768168,0.1166436070680197,0.1779329845603566,0.3094958434602763,0.2375213304799232,0.1057203197507251,0.0895416347360394,0.0703236729927327,0.0101900489139549,0.1354993334401424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,33.5839,45295.516152350116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0539304764768168,0.1166436070680197,0.1779329845603566,0.3094958434602763,0.2375213304799232,0.1057203197507251,0.0895416347360394,0.0703236729927327,0.0101900489139549,0.1354993334401424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,32.92048,45295.516152350116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0567641563103322,0.1036698000707929,0.1771440526330277,0.2575499109831295,0.2112106042156919,0.0781105075819404,0.1065727087962868,0.0642933522446519,0.0099415111355657,0.1019261428160475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,32.92048,45296.17957235011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0567641563103322,0.1036698000707929,0.1771440526330277,0.2575499109831295,0.2112106042156919,0.0781105075819404,0.1065727087962868,0.0642933522446519,0.0099415111355657,0.1019261428160475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,32.92048,45296.17957235011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0567641563103322,0.1036698000707929,0.1771440526330277,0.2575499109831295,0.2112106042156919,0.0781105075819404,0.1065727087962868,0.0642933522446519,0.0099415111355657,0.1019261428160475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
